Num_Acc,id_vehicule,num_veh,place,catu,sexe,trajet,secu1,secu2,secu3,locp,actp,etatp,year_acc,victim_age,senc,catv,obs,obsm,choc,manv,motor,occutc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,jour,mois,an,hrmn,lum,dep,com,agg_,int,atm,col,adr,lat,long,hour,nb_victim,nb_vehicules
202100044175,122Â 711,A01,1,1,2,1,8,0,-1,-1, -1,-1,2021,21.0,3,2,0,2,1,19,1,,4,SEPTIEME (AVENUE),0,,2,2,0,1,1,0,1,, -1,1,9,1,50,12,4,2021,23:15,5,93,93073,2,5,0,3,SEPTIEME (AVENUE),48.9628727515,2.5665791423,23,2,2
202100020504,164Â 984,B01,1,1,2,9,8,0,-1,-1, -1,-1,2021,22.0,1,1,0,2,1,1,3,,4,,0,,2,2,1,1,(1),(1),1,, -1,1,0,1,50,6,9,2021,07:00,2,66,66136,2,1,0,3,ABBE PIERRE,42.6907826186,2.8747966996,7,2,2
202100026531,154Â 272,B01,1,1,1,5,2,6,-1,0,0,-1,2021,27.0,1,1,0,2,1,1,1,,3,151,0,,2,2,0,1,4,960,1,, -1,1,0,1,50,30,7,2021,15:30,1,51,51662,2,3,0,3,Avenue de Rethel,49.2947019938,4.1264552147,15,2,2
202100013999,176Â 681,A01,1,1,1,0,1,8,-1,-1, -1,-1,2021,24.0,1,2,0,2,1,5,1,,7,D66  VOIE RAPIDE,0,,1,2,0,1,6,684,1,, -1,1,0,1,90,10,10,2021,07:15,3,34,34198,1,1,0,1,D66  VOIE RAPIDE,43.57689,3.9485,7,6,2
202100053052,106Â 894,B01,1,1,1,0,8,0,-1,0,0,-1,2021,38.0,3,1,0,2,1,25,3,,4,,0,,1,-1,2,1,(1),(1),1,, -1,2,-1,1,30,30,1,2021,17:32,5,54,54395,2,2,1,1,HENNER (RUE),48.67932,6.17426,17,2,2
202100040340,129Â 497,A01,1,1,2,9,1,0,-1,-1, -1,-1,2021,30.0,1,2,0,2,5,16,1,,7,DE GAULLE (AVENUE CHARLES),0,,1,2,0,1,3,77,2,, -1,1,0,1,50,10,5,2021,17:05,1,45,45235,2,1,0,3,Avenue Charles de Gaulle,47.95224,1.8425,17,2,2
202100012791,178Â 858,A01,5,2,2,0,1,0,-1,-1, -1,-1,2021,10.0,1,2,0,0,9,26,1,,1,AUTOROUTE A6,0,,1,3,0,1,33,299,1,, -1,1,0,1,110,16,10,2021,19:30,3,91,91179,1,1,0,7,AUTOROUTE A6,48.56709,2.47275,19,3,1
202100042281,126Â 049,A01,1,1,2,9,1,0,-1,-1, -1,-1,2021,60.0,0,2,0,2,0,0,1,,4,,-1,,2,-1,-1,1,(1),(1),1,, -1,-1,0,-1,-1,27,4,2021,15:32,1,974,97422,1,1,0,3,DE VILLIERS 5CHEMIN ADAM),-21.2744386814,55.5010474774,15,2,2
202100051902,108Â 930,B01,1,1,1,0,8,0,-1,-1, -1,-1,2021,20.0,0,1,0,0,0,0,5,,4,QUAI DE MALAKOFF,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,30,10,2,2021,14:40,1,44,44109,2,6,0,3,QUAI DE MALAKOFF,47.2135267119,-1.5395961618,14,2,2
202100037332,134Â 939,A01,2,2,2,4,1,-1,-1,0,0,-1,2021,37.0,2,2,0,2,5,23,1,,3,,-1,,2,2,0,2,(1),(1),1,,4,1,0,1,50,29,5,2021,16:27,1,74,74152,2,1,0,3,Rte des Gorges,45.901833,6.034407,16,4,2
